"MetaboliteName","FBOnto","HMDB","KEGG","ChEBI","PubChem_CID","InChIKey","InChI_Code","ChemSpider"
"1,3,7-trimethyluric acid","FB_030665","HMDB02123","C16361","CHEBI:691622","79437","BYXCFUMGEBZDDI-UHFFFAOYSA-N","InChI=1S/C8H10N4O3/c1-10-4-5(9-7(10)14)11(2)8(15)12(3)6(4)13/h1-3H3,(H,9,14)","71754"
"1,3-dimethyluric acid","FB_030662","HMDB01857",NA,"CHEBI:68447","70346","OTSBKHHWSQYEHK-UHFFFAOYSA-N","InChI=1S/C7H8N4O3/c1-10-4-3(8-6(13)9-4)5(12)11(2)7(10)14/h1-2H3,(H2,8,9,13)","63527"
"1,7-dimethyluric acid","FB_030663","HMDB11103","C16356","CHEBI:68449","91611","NOFNCLGCUJJPKU-UHFFFAOYSA-N","InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)","82720"
"1-hydroxypyrene glucuronide","FB_030622",NA,NA,NA,"59751652","BUCREAQPYGLZLI-SXFAUFNYSA-N","InChI=1S/C22H18O7/c23-17-18(24)20(21(26)27)29-22(19(17)25)28-14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9,17-20,22-25H,(H,26,27)/t17-,18-,19+,20-,22+/m0/s1",NA
"1-methylhistidine","FB_030689","HMDB00001",NA,"CHEBI:50599","7020397 | 92105","BRMWTNUJHUMWMS-LURJTMIESA-N","InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1","83153"
"1-methylpyrogallol","FB_030437",NA,NA,NA,"13622","LPYUENQFPVNPHY-UHFFFAOYSA-N","InChI=1S/C7H8O3/c1-10-6-4-2-3-5(8)7(6)9/h2-4,8-9H,1H3",NA
"1-methylpyrogallol 2-glucuronide","FB_08695",NA,NA,NA,NA,"WIRBFTWUCRQZDH-UHFFFAOYSA-N","InChI=1S/C13H16O9/c1-20-6-4-2-3-5(14)10(6)21-13-9(17)7(15)8(16)11(22-13)12(18)19/h2-4,7-9,11,13-17H,1H3,(H,18,19)",NA
"1-methylpyrogallol 2-sulfate","FB_08698",NA,NA,NA,NA,"DIWVSUYQBQOOTK-UHFFFAOYSA-N","InChI=1S/C7H8O6S/c1-12-6-4-2-3-5(8)7(6)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)",NA
"1-methylpyrogallol 3-glucuronide","FB_08696",NA,NA,NA,NA,"ZCXVNAUYGLECEF-UHFFFAOYSA-N","InChI=1S/C13H16O9/c1-20-5-3-2-4-6(7(5)14)21-13-10(17)8(15)9(16)11(22-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)",NA
"1-methylpyrogallol 3-sulfate","FB_08699",NA,NA,NA,NA,"NTXOJWKIHIOUQN-UHFFFAOYSA-N","InChI=1S/C7H8O6S/c1-12-5-3-2-4-6(7(5)8)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)",NA
