"MetaboliteName","FOBI","HMDB","KEGG","ChEBI","PubChem_CID","InChIKey","InChI_Code","ChemSpider"
"1,3,7-trimethyluric acid","FOBI:030665","HMDB02123","C16361","CHEBI:691622","79437","BYXCFUMGEBZDDI-UHFFFAOYSA-N","InChI=1S/C8H10N4O3/c1-10-4-5(9-7(10)14)11(2)8(15)12(3)6(4)13/h1-3H3,(H,9,14)","71754"
"1,3-dimethyluric acid","FOBI:030662","HMDB01857",NA,"CHEBI:68447","70346","OTSBKHHWSQYEHK-UHFFFAOYSA-N","InChI=1S/C7H8N4O3/c1-10-4-3(8-6(13)9-4)5(12)11(2)7(10)14/h1-2H3,(H2,8,9,13)","63527"
"1,7-dimethyluric acid","FOBI:030663","HMDB11103","C16356","CHEBI:68449","91611","NOFNCLGCUJJPKU-UHFFFAOYSA-N","InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)","82720"
"1-hydroxypyrene glucuronide","FOBI:030622",NA,NA,NA,"59751652","BUCREAQPYGLZLI-SXFAUFNYSA-N","InChI=1S/C22H18O7/c23-17-18(24)20(21(26)27)29-22(19(17)25)28-14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9,17-20,22-25H,(H,26,27)/t17-,18-,19+,20-,22+/m0/s1",NA
"1-methylhistidine","FOBI:030689","HMDB00001",NA,"CHEBI:50599","7020397 | 92105","BRMWTNUJHUMWMS-LURJTMIESA-N","InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1","83153"
"1-methylpyrogallol","FOBI:030437",NA,NA,NA,"13622","LPYUENQFPVNPHY-UHFFFAOYSA-N","InChI=1S/C7H8O3/c1-10-6-4-2-3-5(8)7(6)9/h2-4,8-9H,1H3",NA
"1-methylpyrogallol 2-glucuronide","FOBI:08695",NA,NA,NA,NA,"WIRBFTWUCRQZDH-UHFFFAOYSA-N","InChI=1S/C13H16O9/c1-20-6-4-2-3-5(14)10(6)21-13-9(17)7(15)8(16)11(22-13)12(18)19/h2-4,7-9,11,13-17H,1H3,(H,18,19)",NA
"1-methylpyrogallol 2-sulfate","FOBI:08698",NA,NA,NA,NA,"DIWVSUYQBQOOTK-UHFFFAOYSA-N","InChI=1S/C7H8O6S/c1-12-6-4-2-3-5(8)7(6)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)",NA
"1-methylpyrogallol 3-glucuronide","FOBI:08696",NA,NA,NA,NA,"ZCXVNAUYGLECEF-UHFFFAOYSA-N","InChI=1S/C13H16O9/c1-20-5-3-2-4-6(7(5)14)21-13-10(17)8(15)9(16)11(22-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)",NA
"1-methylpyrogallol 3-sulfate","FOBI:08699",NA,NA,NA,NA,"NTXOJWKIHIOUQN-UHFFFAOYSA-N","InChI=1S/C7H8O6S/c1-12-5-3-2-4-6(7(5)8)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)",NA
"1-methyluric acid","FOBI:030659","HMDB03099","C16359","CHEBI:68441","69726","QFDRTQONISXGJA-UHFFFAOYSA-N","InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)","62926"
"1-methylxanthine","FOBI:030652","HMDB10738","C16358","CHEBI:68444","80220","MVOYJPOZRLFTCP-UHFFFAOYSA-N","InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)","72464"
"2,3-dihydroxybenzoic acid 2-glucuronide","FOBI:08667",NA,NA,NA,NA,"ZZTMNRLDFVIBTG-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-5-3-1-2-4(11(18)19)9(5)22-13-8(17)6(15)7(16)10(23-13)12(20)21/h1-3,6-8,10,13-17H,(H,18,19)(H,20,21)",NA
"2,3-dihydroxybenzoic acid 3-glucuronide","FOBI:08668",NA,NA,NA,NA,"WEIFSGICBUHQQV-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-6-4(11(18)19)2-1-3-5(6)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)",NA
"2,3-dihydroxybenzoic acid 3-sulfate","FOBI:08673",NA,NA,NA,NA,"QDPNFTHYUAKYKM-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-6-4(7(9)10)2-1-3-5(6)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)",NA
