Entity,Type,Superclass(es),http://purl.obolibrary.org/obo/FOBI_00422,http://purl.obolibrary.org/obo/FOBI_00423,http://purl.obolibrary.org/obo/FOBI_00424,http://purl.obolibrary.org/obo/FOBI_00425,http://purl.obolibrary.org/obo/FOBI_040232,http://purl.obolibrary.org/obo/FOBI_040233,http://purl.obolibrary.org/obo/FOBI_040235,http://purl.obolibrary.org/obo/FOBI_040236,http://purl.obolibrary.org/obo/FOBI_040237,http://purl.obolibrary.org/obo/FOBI_040238,http://purl.obolibrary.org/obo/FOBI_043480,http://purl.obolibrary.org/obo/IAO_0000114,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.obolibrary.org/obo/IAO_0000118,http://purl.obolibrary.org/obo/IAO_0000119,http://purl.obolibrary.org/obo/IAO_0000412,http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.obolibrary.org/obo/CHEBI_10219,Class,http://purl.obolibrary.org/obo/CHEBI_61655	http://purl.obolibrary.org/obo/FOBI_040161,"''potato (whole, raw)''",,,,"'391274'",,"'C10796'","'442971'","'TYNQWWGVEGFKRU-AJDPQWBVSA-N'","'InChI=1S/C45H73NO14/c1-19-7-10-28-20(2)31-29(46(28)17-19)16-27-25-9-8-23-15-24(11-13-44(23,5)26(25)12-14-45(27,31)6)57-43-40(60-42-37(53)35(51)33(49)22(4)56-42)38(54)39(30(18-47)58-43)59-41-36(52)34(50)32(48)21(3)55-41/h8,19-22,24-43,47-54H,7,9-18H2,1-6H3/t19-,20+,21-,22-,24-,25+,26-,27-,28+,29-,30+,31-,32-,33-,34+,35+,36+,37+,38-,39+,40+,41-,42-,43+,44-,45-/m0/s1'","'FOBI:030714'",,,"'α-chaconine'",,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'alpha-Chaconine'",
http://purl.obolibrary.org/obo/CHEBI_10362,Class,http://purl.obolibrary.org/obo/CHEBI_23045	http://purl.obolibrary.org/obo/FOBI_040181,"''vegetable food product''	''plant fruit food product''",,,,"'4444647'",,"'C08591'","'5281235'","'DMASLKHVQRHNES-FKKUPVFPSA-N'","'InChI=1S/C40H56O/c1-30(18-13-20-32(3)23-25-37-34(5)22-15-27-39(37,7)8)16-11-12-17-31(2)19-14-21-33(4)24-26-38-35(6)28-36(41)29-40(38,9)10/h11-14,16-21,23-26,36,41H,15,22,27-29H2,1-10H3/b12-11+,18-13+,19-14+,25-23+,26-24+,30-16+,31-17+,32-20+,33-21+/t36-/m1/s1'","'FOBI:030754'",,"'A carotenol that exhibits antioxidant activity. It has been isolated from fruits such as papaya and oranges.'","'β-cryptoxanthin'",,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'beta-cryptoxanthin'",
http://purl.obolibrary.org/obo/CHEBI_11060,Class,http://purl.obolibrary.org/obo/FOBI_040153	http://purl.obolibrary.org/obo/CHEBI_17126,"''Lean meat''	''Red meat''",,,,"'2006614'","'HMDB00062'","'C15025'","'2724480'","'PHIQHXFUZVPYII-LURJTMIESA-N'","'InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m0/s1'","'FOBI:030706'",,"'The (S)-enantiomer of carnitine.'","'l-carnitine'",,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'(S)-carnitine'",
http://purl.obolibrary.org/obo/CHEBI_131927,Class,http://purl.obolibrary.org/obo/CHEBI_36586,,,,,,,,,,,,,"'A class of carbonyl compound encompassing dicarboxylic acids and any derivatives obtained by substitution of either one or both of the carboxy hydrogens.'",,,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'dicarboxylic acids and O-substituted derivatives'",
http://purl.obolibrary.org/obo/CHEBI_132502,Class,http://purl.obolibrary.org/obo/CHEBI_73155,,,,,,,,,,,,,"'Any trienoic fatty acid containing 18 carbons.'",,,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'fatty acid 18:3'",
http://purl.obolibrary.org/obo/CHEBI_132540,Class,http://purl.obolibrary.org/obo/CHEBI_35366	http://purl.obolibrary.org/obo/CHEBI_26208,,,,,,,,,,,,,"'Any polyunsaturated fatty acid containing 20 carbons and 5 double bonds.'",,,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'fatty acid 20:5'",
http://purl.obolibrary.org/obo/CHEBI_132544,Class,http://purl.obolibrary.org/obo/CHEBI_35366	http://purl.obolibrary.org/obo/CHEBI_26208,,,,,,,,,,,,,"'Any polyunsaturated fatty acid containing 22 carbons and 6 double bonds.'",,,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'fatty acid 22:6'",
http://purl.obolibrary.org/obo/CHEBI_133445,Class,http://purl.obolibrary.org/obo/CHEBI_75659,,,,,,,,,,,,,"'An O-acylcarnitine in which the R is a saturated fatty acyl chain.'",,,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'saturated fatty acyl-L-carnitine'",
http://purl.obolibrary.org/obo/CHEBI_133959,Class,http://purl.obolibrary.org/obo/CHEBI_38756,,,,,,,,,,,,,"'Any methoxyisoflavone which has a methoxy group at the 4-position of the phenyl substituent.'",,,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'4'-methoxyisoflavones'",
http://purl.obolibrary.org/obo/CHEBI_134251,Class,http://purl.obolibrary.org/obo/CHEBI_25235	http://purl.obolibrary.org/obo/CHEBI_33853,,,,,,,,,,,,,"'Any phenol carrying an additional methoxy substituent at the ortho-position.'",,,"'http://purl.obolibrary.org/obo/chebi.owl'",,"'guaiacols'",
