Entity;Type;Superclass(es);BiomarkerOf;Contains;
alpha-Chaconine;Class;'Steroidal saponins';"''potato (whole, raw)''";;
beta-cryptoxanthin;Class;Xanthophylls;"''vegetable food product''	''plant fruit food product''";;
'(S)-carnitine';Class;Carnitines;"''Lean meat''	''Red meat''";;
'3-(3-hydroxyphenyl)propanoic acid';Class;'Phenylpropanoic acids';"''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''olive oil''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''red wine''	''vegetable food product''	''Whole grain cereal products''";;
'(+)-catechin';Class;Catechins;"''nut (whole or part)''	''apple (whole)''	''red wine''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''";;
'L-tartaric acid';Class;'Sugar acids and derivatives';"''grape (whole, raw)''	''red wine''";;
'trimethylamine N-oxide';Class;'Trialkyl amine oxides';"'fish'	''seafood product''";;
carnosine;Class;'Hybrid peptides';"''Red meat''	''Lean meat''";;
N-methylpyridinium;Class;'N-methylpyridinium compounds';"''coffee based beverage product''	''legume food product''";;
luteolin;Class;Flavones;"''nut (whole or part)''	''legume food product''	''vegetable food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''olive oil''";;
taurine;Class;'Organosulfonic acids';"''Lean meat''	''Red meat''";;
lycopene;Class;Carotenes;"''vegetable food product''	''plant fruit food product''";;
'cyclohexylsulfamic acid';Class;Cyclamates;"''soft drink (dietetic)''";;
'chlorogenic acid';Class;'Quinic acids and derivatives';"''coffee based beverage product''	''tea based beverage product''	''plant fruit food product''	''vegetable food product''";;
pyrogallol;Class;'5-unsubstituted pyrrogallols';"''olive oil''	''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''vegetable food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''legume food product''";;
'oleic acid';Class;'Long-chain fatty acids';"''olive oil''";;
3-hydroxybenzaldehyde;Class;Benzaldehydes;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''olive oil''";;
quercetin;Class;Flavonols;"''red wine''	''tea based beverage product''	''cacao food product''	''olive oil''	''coffee based beverage product''	''Whole grain cereal products''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''vegetable food product''";;
'phytanic acid';Class;'Acyclic diterpenoids';"''dairy food product''	''Red meat''";;
'trans-5-O-caffeoyl-D-quinic acid';Class;'Quinic acids and derivatives';"''tea based beverage product''	''coffee based beverage product''	''plant fruit food product''	''vegetable food product''";;
'indole-3-acetic acid';Class;'Indole-3-acetic acid derivatives';"''legume food product''	''egg food product''	''meat food product''	''nut (whole or part)''	''soybean (whole)''	''Whole grain cereal products''	''dairy food product''";;
'DIMBOA glucoside';Class;'O-glycosyl compounds';"''Whole grain cereal products''";;
creatinine;Class;'Alpha amino acids and derivatives';"''Lean meat''	''Red meat''";;
L-tryptophan;Class;'Indolyl carboxylic acids and derivatives';"''dairy food product''	''meat food product''	''Whole grain cereal products''	''nut (whole or part)''	''egg food product''	''soybean (whole)''	''legume food product''";;
'salicylic acid';Class;'Salicylic acids';"''olive oil''	''cacao food product''	''tea based beverage product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''Whole grain cereal products''	''red wine''	''vegetable food product''	''coffee based beverage product''";;
beta-alanine;Class;'Beta amino acids and derivatives';"''Red meat''";;
4-methylcatechol;Class;Catechols;"''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''plant fruit food product''	''red wine''	''nut (whole or part)''";;
phloretin;Class;2'-Hydroxy-dihydrochalcones;"''apple (whole)''";;
L-phenylalanine;Class;'Phenylalanine and derivatives';"''nut (whole or part)''	''soybean (whole)''	''egg food product''	''Whole grain cereal products''	''meat food product''	''dairy food product''	''legume food product''";;
bergaptol;Class;5-hydroxypsoralens;"''grapefruit (whole, raw)''";;
'3-(4-hydroxyphenyl)lactic acid';Class;'Phenylpropanoic acids';"''dairy food product''	''meat food product''	''Whole grain cereal products''	''egg food product''	''soybean (whole)''	''nut (whole or part)''	''legume food product''";;
'cis-caffeic acid';Class;'Hydroxycinnamic acids';"''plant fruit food product''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;
'cyanocob(III)alamin';Class;'Catechin gallates';"''dairy food product''	''egg food product''	''meat food product''";;
'3-hydroxyphenylacetic acid';Class;'1-hydroxy-4-unsubstituted benzenoids';"''red wine''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''	''olive oil''	''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''";;
'biochanin A';Class;4'-O-methylisoflavones;"''legume food product''	''soybean (whole)''";;
beta-carotene;Class;Carotenes;"''vegetable food product''	''plant fruit food product''";;
4-hydroxybenzaldehyde;Class;Benzaldehydes;"''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''vegetable food product''	''olive oil''	''red wine''	''nut (whole or part)''	''legume food product''";;
