"Entity","Superclass(es)","ChemSpider","HMDB","KEGG","PubChemCID","InChIKey","InChICode","FOBI"
"alpha-Chaconine","Steroidal saponins","391274",NA,"C10796","442971","TYNQWWGVEGFKRU-AJDPQWBVSA-N","InChI=1S/C45H73NO14/c1-19-7-10-28-20(2)31-29(46(28)17-19)16-27-25-9-8-23-15-24(11-13-44(23,5)26(25)12-14-45(27,31)6)57-43-40(60-42-37(53)35(51)33(49)22(4)56-42)38(54)39(30(18-47)58-43)59-41-36(52)34(50)32(48)21(3)55-41/h8,19-22,24-43,47-54H,7,9-18H2,1-6H3/t19-,20+,21-,22-,24-,25+,26-,27-,28+,29-,30+,31-,32-,33-,34+,35+,36+,37+,38-,39+,40+,41-,42-,43+,44-,45-/m0/s1","FOBI:030714"
"beta-cryptoxanthin","Xanthophylls","4444647",NA,"C08591","5281235","DMASLKHVQRHNES-FKKUPVFPSA-N","InChI=1S/C40H56O/c1-30(18-13-20-32(3)23-25-37-34(5)22-15-27-39(37,7)8)16-11-12-17-31(2)19-14-21-33(4)24-26-38-35(6)28-36(41)29-40(38,9)10/h11-14,16-21,23-26,36,41H,15,22,27-29H2,1-10H3/b12-11+,18-13+,19-14+,25-23+,26-24+,30-16+,31-17+,32-20+,33-21+/t36-/m1/s1","FOBI:030754"
"(S)-carnitine","Carnitines","2006614","HMDB00062","C15025","2724480","PHIQHXFUZVPYII-LURJTMIESA-N","InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m0/s1","FOBI:030706"
"3-(3-hydroxyphenyl)propanoic acid","Phenylpropanoic acids","89","HMDB00375","C11457","91","QVWAEZJXDYOKEH-UHFFFAOYSA-N","InChI=1S/C9H10O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-3,6,10H,4-5H2,(H,11,12)","FOBI:030415"
"(+)-catechin","Catechins",NA,"HMDB02780","C06562","9064","PFTAWBLQPZVEMU-DZGCQCFKSA-N","InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1","FOBI:030460"
"L-tartaric acid","Sugar acids and derivatives",NA,"HMDB00956","C00898 | D00103","444305","FEWJPZIEWOKRBE-JCYAYHJZSA-N","InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1","FOBI:030630"
"trimethylamine N-oxide","Trialkyl amine oxides","1113","HMDB00925","C01104","1145","UYPYRKYUKCHHIB-UHFFFAOYSA-N","InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3","FOBI:030711"
"carnosine","Hybrid peptides","388363","HMDB00033","C00386","439224 | 6992100","CQOVPNPJLQNMDC-ZETCQYMHSA-N","InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1","FOBI:030687"
"N-methylpyridinium","N-methylpyridinium compounds","11374613 | 11570712 | 14351918 | 14363886",NA,"C02724","13597","PQBAWAQIRZIWIV-UHFFFAOYSA-N","InChI=1S/C6H8N/c1-7-5-3-2-4-6-7/h2-6H,1H3/q+1","FOBI:030713"
"luteolin","Flavones","4444102","HMDB05800","C01514","5280445","IQPNAANSBPBGFQ-UHFFFAOYSA-N","InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H","FOBI:030555"
