"metabolite","food"
"alpha-Chaconine","''potato (whole, raw)''"
"beta-cryptoxanthin","''vegetable food product''"
"beta-cryptoxanthin","''plant fruit food product''"
"(S)-carnitine","''Lean meat''"
"(S)-carnitine","''Red meat''"
"3-(3-hydroxyphenyl)propanoic acid","''cacao food product''"
"3-(3-hydroxyphenyl)propanoic acid","''tea based beverage product''"
"3-(3-hydroxyphenyl)propanoic acid","''coffee based beverage product''"
"3-(3-hydroxyphenyl)propanoic acid","''olive oil''"
"3-(3-hydroxyphenyl)propanoic acid","''plant fruit food product''"
"3-(3-hydroxyphenyl)propanoic acid","''legume food product''"
"3-(3-hydroxyphenyl)propanoic acid","''nut (whole or part)''"
"3-(3-hydroxyphenyl)propanoic acid","''red wine''"
"3-(3-hydroxyphenyl)propanoic acid","''vegetable food product''"
"3-(3-hydroxyphenyl)propanoic acid","''Whole grain cereal products''"
"(+)-catechin","''apple (whole)''"
"(+)-catechin","''nut (whole or part)''"
"(+)-catechin","''red wine''"
"(+)-catechin","''berry (whole, raw)''"
"(+)-catechin","''cacao food product''"
"(+)-catechin","''tea based beverage product''"
"L-tartaric acid","''grape (whole, raw)''"
"L-tartaric acid","''red wine''"
"trimethylamine N-oxide","'fish'"
"trimethylamine N-oxide","''seafood product''"
"carnosine","''Red meat''"
"carnosine","''Lean meat''"
"N-methylpyridinium","''coffee based beverage product''"
"N-methylpyridinium","''legume food product''"
"luteolin","''nut (whole or part)''"
"luteolin","''legume food product''"
"luteolin","''vegetable food product''"
"luteolin","''cacao food product''"
"luteolin","''tea based beverage product''"
"luteolin","''coffee based beverage product''"
"luteolin","''red wine''"
"luteolin","''plant fruit food product''"
"luteolin","''Whole grain cereal products''"
"luteolin","''olive oil''"
"taurine","''Lean meat''"
"taurine","''Red meat''"
"lycopene","''vegetable food product''"
"lycopene","''plant fruit food product''"
"cyclohexylsulfamic acid","''soft drink (dietetic)''"
"chlorogenic acid","''coffee based beverage product''"
"chlorogenic acid","''tea based beverage product''"
"chlorogenic acid","''plant fruit food product''"
"chlorogenic acid","''vegetable food product''"
"pyrogallol","''olive oil''"
"pyrogallol","''plant fruit food product''"
"pyrogallol","''coffee based beverage product''"
"pyrogallol","''cacao food product''"
"pyrogallol","''tea based beverage product''"
"pyrogallol","''vegetable food product''"
"pyrogallol","''Whole grain cereal products''"
"pyrogallol","''red wine''"
"pyrogallol","''nut (whole or part)''"
"pyrogallol","''legume food product''"
"oleic acid","''olive oil''"
"3-hydroxybenzaldehyde","''tea based beverage product''"
"3-hydroxybenzaldehyde","''cacao food product''"
"3-hydroxybenzaldehyde","''coffee based beverage product''"
"3-hydroxybenzaldehyde","''red wine''"
"3-hydroxybenzaldehyde","''Whole grain cereal products''"
"3-hydroxybenzaldehyde","''vegetable food product''"
"3-hydroxybenzaldehyde","''legume food product''"
"3-hydroxybenzaldehyde","''nut (whole or part)''"
"3-hydroxybenzaldehyde","''plant fruit food product''"
"3-hydroxybenzaldehyde","''olive oil''"
"quercetin","''red wine''"
"quercetin","''plant fruit food product''"
"quercetin","''legume food product''"
"quercetin","''nut (whole or part)''"
"quercetin","''vegetable food product''"
"quercetin","''cacao food product''"
"quercetin","''tea based beverage product''"
"quercetin","''olive oil''"
"quercetin","''coffee based beverage product''"
"quercetin","''Whole grain cereal products''"
"phytanic acid","''dairy food product''"
"phytanic acid","''Red meat''"
"trans-5-O-caffeoyl-D-quinic acid","''tea based beverage product''"
"trans-5-O-caffeoyl-D-quinic acid","''coffee based beverage product''"
"trans-5-O-caffeoyl-D-quinic acid","''plant fruit food product''"
"trans-5-O-caffeoyl-D-quinic acid","''vegetable food product''"
"indole-3-acetic acid","''legume food product''"
"indole-3-acetic acid","''egg food product''"
"indole-3-acetic acid","''meat food product''"
"indole-3-acetic acid","''nut (whole or part)''"
"indole-3-acetic acid","''soybean (whole)''"
"indole-3-acetic acid","''Whole grain cereal products''"
"indole-3-acetic acid","''dairy food product''"
"DIMBOA glucoside","''Whole grain cereal products''"
"creatinine","''Lean meat''"
"creatinine","''Red meat''"
