Chemical Name,ChEBI,Human Metabolome Database,InChI Code,InChIKey,Score
"Xanthohumol","CHEBI:66331","HMDB0037479","InChI=1S/C21H22O5/c1-13(2)4-10-16-18(24)12-19(26-3)20(21(16)25)17(23)11-7-14-5-8-15(22)9-6-14/h4-9,11-12,22,24-25H,10H2,1-3H3/b11-7+","ORXQGKIUCDPEAJ-YRNVUSSQSA-N","1"
"(-)-Epicatechin","CHEBI:90","HMDB0001871","InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1","PFTAWBLQPZVEMU-UKRRQHHQSA-N","1"
"6-Geranylnaringenin","No result","No result","No result","undefined","0"
"6-Prenylnaringenin","CHEBI:27566","HMDB0037247","InChI=1S/C20H20O5/c1-11(2)3-8-14-15(22)9-18-19(20(14)24)16(23)10-17(25-18)12-4-6-13(21)7-5-12/h3-7,9,17,21-22,24H,8,10H2,1-2H3","YHWNASRGLKJRJJ-KRWDZBQOSA-N","1"
"8-Prenylnaringenin","CHEBI:50207","No result","InChI=1S/C20H20O5/c1-11(2)3-8-14-15(22)9-16(23)19-17(24)10-18(25-20(14)19)12-4-6-13(21)7-5-12/h3-7,9,18,21-23H,8,10H2,1-2H3/t18-/m0/s1","LPEPZZAVFJPLNZ-SFHVURJKSA-N","1"
"Quercetin 3-O-Rutinoside","No result","No result","No result","undefined","0"
"4-Vinylguaiacol","CHEBI:42438","HMDB0013744","InChI=1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3","YOMSJEATGXXYPX-UHFFFAOYSA-N","1"
"Protocatechuic Acid","No result","No result","No result","undefined","0"
"Caffeic Acid","No result","No result","No result","undefined","0"
"P-Coumaric Acid","No result","No result","No result","undefined","0"
"Polyphenols, Total","No result","No result","No result","undefined","0"
"4-Ethylguaiacol","No result","HMDB0040175","InChI=1S/C9H12O2/c1-3-7-4-5-8(10)9(6-7)11-2/h4-6,10H,3H2,1-2H3","CHWNEIVBYREQRF-UHFFFAOYSA-N","1"
"3-Methylcatechol","CHEBI:18404","No result","InChI=1S/C7H8O2/c1-5-3-2-4-6(8)7(5)9/h2-4,8-9H,1H3","PGSWEKYNAOWQDF-UHFFFAOYSA-N","1"
"4-Ethylcatechol","No result","HMDB0040174","InChI=1S/C8H10O2/c1-2-6-3-4-7(9)8(10)5-6/h3-5,9-10H,2H2,1H3","HFLGBNBLMBSXEM-UHFFFAOYSA-N","1"
"4-Ethylphenol","No result","No result","No result","undefined","0"
"4-Vinylphenol","CHEBI:1883","HMDB0004072","InChI=1S/C8H8O/c1-2-7-3-5-8(9)6-4-7/h2-6,9H,1H2","FUGYGGDSWSUORM-UHFFFAOYSA-N","1"
"Matairesinol","CHEBI:65005","HMDB0035698","InChI=1S/C20H22O6/c1-24-18-9-12(3-5-16(18)21)7-14-11-26-20(23)15(14)8-13-4-6-17(22)19(10-13)25-2/h3-6,9-10,14-15,21-22H,7-8,11H2,1-2H3/t14-,15+/m0/s1","MATGKVZWFZHCLI-LSDHHAIUSA-N","1"
"Secoisolariciresinol","CHEBI:65004","HMDB0013692","InChI=1S/C20H26O6/c1-25-19-9-13(3-5-17(19)23)7-15(11-21)16(12-22)8-14-4-6-18(24)20(10-14)26-2/h3-6,9-10,15-16,21-24H,7-8,11-12H2,1-2H3/t15-,16-/m0/s1","PUETUDUXMCLALY-HOTGVXAUSA-N","1"
"(+)-Gallocatechin","No result","No result","No result","undefined","0"
"(-)-Epicatechin 3-O-Gallate","No result","No result","No result","undefined","0"
