Chemical Name,KEGG,ChemSpider
"Xanthohumol","No result","555077"
"(-)-Epicatechin","C09727","65230"
"6-Geranylnaringenin","No result","No result"
"6-Prenylnaringenin","C09832","2759246"
"8-Prenylnaringenin","C18023","421848"
"Quercetin 3-O-Rutinoside","No result","No result"
"4-Vinylguaiacol","C17883","14112879"
"Protocatechuic Acid","No result","No result"
"Caffeic Acid","No result","No result"
"P-Coumaric Acid","No result","No result"
"Polyphenols, Total","No result","No result"
"4-Ethylguaiacol","No result","16200549"
"3-Methylcatechol","C02923","15287379"
"4-Ethylcatechol","No result","15578444"
"4-Ethylphenol","No result","No result"
"4-Vinylphenol","C05627","10752392"
"Matairesinol","C10682","306665"
"Secoisolariciresinol","C18167","58845"
"(+)-Gallocatechin","No result","No result"
"(-)-Epicatechin 3-O-Gallate","No result","No result"
"(-)-Epigallocatechin","C12136","65231"
"(-)-Epigallocatechin 3-O-Gallate","No result","No result"
"Procyanidin Dimer B3","No result","No result"
"Procyanidin Trimer C2","No result","No result"
"Prodelphinidin Dimer B3","No result","No result"
"Prodelphinidin Trimer C-Gc-C","No result","No result"
"Prodelphinidin Trimer Gc-C-C","No result","No result"
"Prodelphinidin Trimer Gc-Gc-C","No result","No result"
"Naringenin","C00509","388383"
"Naringin","C09789","390868"
"3,7-Dimethylquercetin","No result","No result"
"Myricetin","C10107","4444991"
"Quercetin 3-O-Arabinoside","No result","No result"
"2,3-Dihydroxy-1-Guaiacylpropanone","No result","No result"
"4-Hydroxycoumarin","C20414","10254753"
"Esculetin","C09263","4444764"
"Esculin","C09264","4444765"
"Scopoletin","C01752","4444113"
"Umbelliferone","C09315","13586477"
"Tyrosol","C06044","No result"
"2-Hydroxybenzoic Acid","No result","No result"
"Gallic Acid 3-O-Gallate","No result","No result"
"Gentisic Acid","No result","No result"
"5-Caffeoylquinic Acid","No result","No result"
"M-Coumaric Acid","No result","No result"
"O-Coumaric Acid","No result","No result"
"Pinosylvin","C01745","4444110"
"Quercetin 3-O-Glucoside","No result","No result"
"Quercetin 3-O-Rhamnoside","No result","No result"
"Resveratrol 3-O-Glucoside","No result","No result"
"Procyanidin Dimer B1","No result","No result"
"Procyanidin Dimer B2","No result","No result"
"Procyanidin Dimer B4","No result","No result"
"Ferulaldehyde","C02666","4444167"
"Sinapaldehyde","C05610","4444359"
"Caffeoyl Tartaric Acid","No result","No result"
"Feruloyl Tartaric Acid","No result","No result"
