"","MetaboliteName","SuperClass","Class","SubClass","Level5","Level6","Level7"
"2","equol","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",NA,NA
"3","n-(2-hydroxyphenyl)acetamide","Benzenoids","Benzene and substituted derivatives","Anilides","Acetanilides",NA,NA
"5","hesperetin","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids","4'-O-methylated flavonoids",NA,NA
"8","2-methylpyrogallol_1-sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"13","hesperetin_3'-sulfate","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids","4'-O-methylated flavonoids",NA,NA
"16","5-n-heptadecylresorcinol","Benzenoids","Phenols","Benzenediols","Resorcinols",NA,NA
"21","5-n-heneicosylresorcinol","Benzenoids","Phenols","Benzenediols","Resorcinols",NA,NA
"22","curcumin_glucuronide","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Curcuminoids",NA,NA
"31","1,3,7-trimethyluric_acid","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",NA,NA
"32","hydroxytyrosol_3'-sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"34","2-hydroxyphenylacetic_acid","Benzenoids","Benzene and substituted derivatives","Phenylacetic acids","2(hydroxyphenyl)acetic acids",NA,NA
"38","3,4-dihydroxyphenylacetic_acid","Benzenoids","Phenols","Benzenediols","Catechols",NA,NA
"42","4-methylcatechol_2-sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"48","daidzein_4'-sulfate","Phenylpropanoids and polyketides","Isoflavonoids","Isoflav-2-enes","Isoflavones",NA,NA
"54","isorhamnetin_3-sulfate","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids","3'-O-methylated flavonoids",NA,NA
"56","5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone","Benzenoids","Phenols","Benzenetriols and derivatives","Pyrogallols and derivatives",NA,NA
"57","isoferulic_acid_3-sulfate","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives",NA,NA
"61","genistein_7-sulfate","Phenylpropanoids and polyketides","Isoflavonoids","Isoflav-2-enes","Isoflavones",NA,NA
"65","5-(3'-hydroxyphenyl)-γ-valerolactone_3'-sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"67","2,4-dihydroxybenzoic_acid_4-sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"74","5-hydroxyindole-3-acetic_acid","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",NA,NA
"78","tartaric_acid","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",NA,NA
"80","4-hydroxybenzoic_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",NA,NA
"84","naringenin","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavanones",NA,NA
"89","5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone_sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"92","5-n-pentacosylresorcinol","Benzenoids","Phenols","Benzenediols","Resorcinols",NA,NA
"96","3-methylxanthine","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",NA,NA
"97","3,4-dihydroxybenzoic_acid_3-sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"106","3,7-dimethyluric_acid","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",NA,NA
"107","4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid_3'-sulfate","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Sulfated fatty acids",NA,NA
"111","homovanillic_acid_4-sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"117","4-hydroxyphenylacetic_acid_sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"119","3-hydroxybenzoic_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",NA,NA
"123","3-(3-hydroxyphenyl)propionic_acid_sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"125","p-cresol","Benzenoids","Phenols","Cresols","Para cresols",NA,NA
"127","kaempferol","Phenylpropanoids and polyketides","Flavonoids","Flavones","Flavonols",NA,NA
"128","isorhamnetin","Phenylpropanoids and polyketides","Flavonoids","Flavones","Flavonols",NA,NA
"129","eicosapentaenoic_acid","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",NA,NA
"132","n-(2-hydroxyphenyl)acetamide_sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"145","hydroxytyrosol","Benzenoids","Phenols","Tyrosols and derivatives","Tyrosols",NA,NA
"147","solanidine","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","Solanidines and derivatives",NA,NA
"150","3,4-dihydroxyphenylacetic_acid_3-sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates",NA,NA
"154","heptadecanoic_acid","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",NA,NA
"157","ethyl_sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters",NA,NA
"158","sinapic_acid_sulfate","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives",NA,NA
"159","m-coumaric_acid","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",NA,NA
"164","ferulic_acid","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",NA,NA
"166","3,4-dihydroxyphenylvaleric_acid","Benzenoids","Phenols","Benzenediols","Catechols",NA,NA
"168","5-n-pentadecylresorcinol","Benzenoids","Phenols","Benzenediols","Resorcinols",NA,NA
