InChIKey,Kingdom,SuperClass,Class,SubClass,Level5,Level6,Level7
BYXCFUMGEBZDDI-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
OTSBKHHWSQYEHK-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
NOFNCLGCUJJPKU-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
BUCREAQPYGLZLI-SXFAUFNYSA-N,Organic compounds,Benzenoids,Pyrenes,NA,NA,NA,NA
BRMWTNUJHUMWMS-LURJTMIESA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Histidine and derivatives
LPYUENQFPVNPHY-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
WIRBFTWUCRQZDH-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
ZCXVNAUYGLECEF-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
NTXOJWKIHIOUQN-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
QFDRTQONISXGJA-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
MVOYJPOZRLFTCP-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
ZZTMNRLDFVIBTG-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
WEIFSGICBUHQQV-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
QDPNFTHYUAKYKM-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
BTQAJGSMXCDDAJ-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenetriols and derivatives,Phloroglucinols and derivatives,Acylphloroglucinols and derivatives,NA
COVOPZQGJGUPEY-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Benzoxazines,Benzoxazinones,NA,NA,NA
