"","MetaboliteName","SuperClass","Class","SubClass","Level5","Level6","Level7"
"1","pelargonidin_3-glucoside","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Anthocyanins","Anthocyanidin-3-O-glycosides"
"6","2,6-dihydroxybenzoic_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Salicylic acid and derivatives","Salicylic acids"
"18","naringenin_7-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides"
"24","1-methylhistidine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Histidine and derivatives"
"39","alanine_betaine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alanine and derivatives"
"40","4'-methylepicatechin_7-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides"
"41","feruloylglycine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"43","proline_betaine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives"
"44","l-phenylalanine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives"
"50","3-caffeoylquinic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"51","5-caffeoylquinic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"71","quercetin_3-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-3-O-glucuronides"
"77","epicatechin_7-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides"
"82","kaempferol_3-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-3-O-glucuronides"
"95","bergaptol","Phenylpropanoids and polyketides","Coumarins and derivatives","Furanocoumarins","Linear furanocoumarins","Psoralens","5-hydroxypsoralens"
"98","4-caffeoylquinic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"99","petunidin_3-glucoside","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Anthocyanins","Anthocyanidin-3-O-glycosides"
"100","5-(hydroxymethyl-2-furoyl)glycine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"112","3-hydroxybenzaldehyde","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aldehydes","Aryl-aldehydes","Benzaldehydes"
"113","3,4-dihydroxybenzaldehyde","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aldehydes","Aryl-aldehydes","Benzaldehydes"
"115","s-methylcysteine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Cysteine and derivatives"
"116","sulforaphane-n-acetyl-cysteine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"121","phytic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Inositol phosphates"
"126","ethyl_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","Glucuronic acid derivatives","Glucuronides"
"130","apigenin_7-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides"
"134","3-methylhistidine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Histidine and derivatives"
"136","phenylacetylglutamine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"153","formononetin_7-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides"
"163","3,5-dicaffeoylquinic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"165","n-(2-furoyl)glycine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"167","indoxyl_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","Glucuronic acid derivatives","Glucuronides"
"181","s-allylmercapturic_acid","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"182","n-acetyl-s-allylcysteine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"185","gallic_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Gallic acid and derivatives","Gallic acids"
"186","vanilloylglycine","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzamides","Hippuric acids and derivatives","Hippuric acids"
"190","epicatechin-3-gallate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins","Catechin gallates"
"206","4-hydroxyproline_betaine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives"
"211","3'-methylepicatechin_7-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides"
"218","hesperetin_7-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides"
"238","2-hydroxyhippuric_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzamides","Hippuric acids and derivatives","Hippuric acids"
"248","l-tyrosine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives"
"262","4-hydroxyproline","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives"
"268","sulforaphane-cysteine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Cysteine and derivatives"
"269","malvidin_3-glucoside","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Anthocyanins","Anthocyanidin-3-O-glycosides"
